x,y
0.689655,1.03448
1.03448,1.03448
1.03448,1.37931
1.03448,1.72414
1.37931,1.03448
1.37931,1.37931
1.37931,1.72414
1.37931,2.06897
1.72414,1.03448
1.72414,1.37931
1.72414,1.72414
1.72414,2.06897
1.72414,2.41379
2.06897,1.03448
2.06897,1.37931
2.06897,1.72414
2.06897,2.06897
2.06897,2.41379
2.06897,2.75862
2.06897,3.10345
2.41379,1.37931
2.41379,1.72414
2.41379,2.06897
2.41379,2.41379
2.41379,2.75862
2.41379,3.10345
2.41379,3.44828
2.75862,1.37931
2.75862,1.72414
2.75862,2.06897
2.75862,2.41379
2.75862,2.75862
2.75862,3.10345
2.75862,3.44828
2.75862,3.7931
3.10345,0.689655
3.10345,1.03448
3.10345,1.37931
3.10345,1.72414
3.10345,2.06897
3.10345,2.41379
3.10345,2.75862
3.10345,3.10345
3.10345,3.44828
3.10345,3.7931
3.10345,4.13793
3.10345,4.48276
3.44828,0.344828
3.44828,0.689655
3.44828,1.03448
3.44828,1.37931
3.44828,1.72414
3.44828,2.06897
3.44828,2.41379
3.44828,2.75862
3.44828,3.10345
3.44828,3.44828
3.44828,3.7931
3.44828,4.13793
3.44828,4.48276
3.44828,4.82759
3.7931,0.344828
3.7931,0.689655
3.7931,1.03448
3.7931,1.37931
3.7931,1.72414
3.7931,2.06897
3.7931,2.41379
3.7931,2.75862
3.7931,3.10345
3.7931,3.44828
3.7931,3.7931
3.7931,4.13793
3.7931,4.48276
3.7931,4.82759
3.7931,5.17241
3.7931,5.51724
4.13793,0.344828
4.13793,0.689655
4.13793,1.03448
4.13793,1.37931
4.13793,1.72414
4.13793,2.06897
4.13793,2.41379
4.13793,2.75862
4.13793,3.10345
4.13793,3.44828
4.13793,3.7931
4.13793,4.13793
4.13793,4.48276
4.13793,4.82759
4.13793,5.17241
4.13793,5.51724
4.13793,5.86207
4.13793,6.2069
4.13793,6.55172
4.13793,6.89655
4.13793,7.24138
4.48276,0.689655
4.48276,1.03448
4.48276,1.37931
4.48276,1.72414
4.48276,2.06897
4.48276,2.41379
4.48276,2.75862
4.48276,3.10345
