individual, parent1, parent2, x, y, age
32542.0,31586.0,31586.0,0.644586,0.983806,103.0
33494.0,32937.0,32937.0,0.324339,0.224945,95.0
34086.0,32974.0,32974.0,0.394953,0.103957,90.0
34808.0,34119.0,34119.0,0.118549,0.207732,84.0
35282.0,34349.0,34349.0,0.702983,0.374896,80.0
35663.0,35494.0,35494.0,0.978812,0.27346,77.0
36036.0,33433.0,33433.0,0.705583,0.0813593,73.0
36062.0,34796.0,34796.0,0.0428805,0.850147,73.0
36246.0,33215.0,33215.0,0.884611,0.0240348,71.0
36384.0,35059.0,35059.0,0.573135,0.625017,70.0
36395.0,35304.0,35304.0,0.537666,0.0047029,70.0
36474.0,34787.0,34787.0,0.361412,0.267385,69.0
36494.0,35402.0,35402.0,0.460154,0.400559,69.0
36681.0,34003.0,34003.0,0.659272,0.555942,67.0
36728.0,35733.0,35733.0,0.000313328,0.128585,67.0
37138.0,34950.0,34950.0,0.844035,0.199358,63.0
37283.0,35955.0,35955.0,0.553339,0.776436,62.0
37285.0,36031.0,36031.0,0.537848,0.746084,62.0
37378.0,35186.0,35186.0,0.796926,0.485552,61.0
37417.0,36756.0,36756.0,0.616713,0.969772,61.0
37461.0,33678.0,33678.0,0.437782,0.542989,60.0
37592.0,35064.0,35064.0,0.0461414,0.490809,59.0
37761.0,36892.0,36892.0,0.706909,0.215309,58.0
37922.0,33666.0,33666.0,0.363352,0.407527,56.0
37929.0,34576.0,34576.0,0.101662,0.706833,56.0
38123.0,37877.0,37877.0,0.459265,0.324029,55.0
38174.0,36812.0,36812.0,0.871326,0.0342721,54.0
38618.0,35432.0,35432.0,0.200076,0.347285,50.0
38687.0,38173.0,38173.0,0.250827,0.706411,50.0
38762.0,37413.0,37413.0,0.666887,0.543749,49.0
39034.0,38541.0,38541.0,0.293847,0.0240773,47.0
39072.0,32202.0,32202.0,0.555852,0.477421,46.0
39122.0,38026.0,38026.0,0.695691,0.398563,46.0
39165.0,38832.0,38832.0,0.262196,0.0272616,46.0
39241.0,38247.0,38247.0,0.607865,0.162929,45.0
39273.0,38851.0,38851.0,0.246559,0.0462849,45.0
39319.0,37187.0,37187.0,0.57188,0.137059,44.0
39500.0,39083.0,39083.0,0.25997,0.805493,43.0
39536.0,35191.0,35191.0,0.864994,0.022854,42.0
39580.0,38445.0,38445.0,0.16213,0.312307,42.0
39582.0,38477.0,38477.0,0.0370232,0.855984,42.0
39595.0,38879.0,38879.0,0.997975,0.98342,42.0
39631.0,34629.0,34629.0,0.822928,0.35612,41.0
39636.0,36207.0,36207.0,0.270652,0.799758,41.0
39645.0,37017.0,37017.0,0.998354,0.984699,41.0
39653.0,37402.0,37402.0,0.875348,0.163855,41.0
39716.0,39470.0,39470.0,0.747701,0.0999162,41.0
39728.0,33610.0,33610.0,0.279298,0.544457,40.0
39731.0,34731.0,34731.0,0.505646,0.00499326,40.0
39734.0,35432.0,35432.0,0.220048,0.323567,40.0
39738.0,35726.0,35726.0,0.754469,0.700689,40.0
39767.0,38250.0,38250.0,0.667958,0.723062,40.0
39768.0,38250.0,38250.0,0.675435,0.687661,40.0
39837.0,39675.0,39675.0,0.253448,0.331446,40.0
39841.0,39710.0,39710.0,0.657306,0.398264,40.0
39845.0,32034.0,32034.0,0.0638566,0.520305,39.0
39846.0,32140.0,32140.0,0.785725,0.664077,39.0
39855.0,35271.0,35271.0,0.275891,0.670111,39.0
39858.0,36328.0,36328.0,0.246223,0.154641,39.0
39885.0,38407.0,38407.0,0.0233037,0.530941,39.0
39890.0,38477.0,38477.0,0.00810119,0.812855,39.0
39940.0,39657.0,39657.0,0.442437,0.495757,39.0
39988.0,37468.0,37468.0,0.244547,0.700294,38.0
40012.0,38752.0,38752.0,0.230777,0.463366,38.0
40014.0,38817.0,38817.0,0.150114,0.0508972,38.0
40064.0,39875.0,39875.0,0.601634,0.447337,38.0
40097.0,37720.0,37720.0,0.88695,0.208452,37.0
40112.0,38539.0,38539.0,0.65952,0.438722,37.0
40122.0,38848.0,38848.0,0.0271083,0.49863,37.0
40174.0,39845.0,39845.0,0.00809539,0.550678,37.0
40177.0,39888.0,39888.0,0.990553,0.636162,37.0
40180.0,39921.0,39921.0,0.0330814,0.972315,37.0
